X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,3.3232777400000002e-37,49.762465954,3.3232777400000002e-37,-0.237534046,0.0158733483,-0.00476200134,0.0
0.0,45.0,2.73442082e-33,44.786219358,2.73442082e-33,-0.213780642,0.0158733483,-0.00476200134,0.0
0.0,40.0,2.73442082e-33,39.809972763,2.73442082e-33,-0.190027237,0.0158733483,-0.00476200134,0.0
0.0,35.0,2.73442082e-33,34.833726168,2.73442082e-33,-0.166273832,0.0158733483,-0.00476200134,0.0
0.0,30.0,2.73442082e-33,29.857479572,2.73442082e-33,-0.142520428,0.0158733483,-0.00476200134,0.0
0.0,25.0,2.73442082e-33,24.881232977,2.73442082e-33,-0.118767023,0.0158733483,-0.00476200134,0.0
0.0,20.0,2.73442082e-33,19.9049863815,2.73442082e-33,-0.0950136185,0.0158733483,-0.00476200134,0.0
0.0,15.0,2.73442082e-33,14.9287397861,2.73442082e-33,-0.0712602139,0.0158733483,-0.00476200134,0.0
0.0,10.0,2.73442082e-33,9.9524931908,2.73442082e-33,-0.0475068092,0.0158733483,-0.00476200134,0.0
0.0,5.0,2.73442082e-33,4.9762465954,2.73442082e-33,-0.0237534046,0.0158733483,-0.00476200134,0.0
0.0,0.0,3.3232777400000002e-37,1.1308622999999999e-36,3.3232777400000002e-37,1.1308622999999999e-36,0.0158733483,-0.00476200134,0.0
5.0,50.0,5.0799999982,49.762465954,0.0799999982,-0.237534046,0.0158733483,-0.00476200134,0.0
5.0,45.0,5.0799999982,44.786219358,0.0799999982,-0.213780642,0.0158733483,-0.00476200134,0.0
5.0,40.0,5.0799999982,39.809972763,0.0799999982,-0.190027237,0.0158733483,-0.00476200134,0.0
5.0,35.0,5.0799999982,34.833726168,0.0799999982,-0.166273832,0.0158733483,-0.00476200134,0.0
5.0,30.0,5.0799999982,29.857479572,0.0799999982,-0.142520428,0.0158733483,-0.00476200134,0.0
5.0,25.0,5.0799999982,24.881232977,0.0799999982,-0.118767023,0.0158733483,-0.00476200134,0.0
5.0,20.0,5.0799999982,19.9049863815,0.0799999982,-0.0950136185,0.0158733483,-0.00476200134,0.0
5.0,15.0,5.0799999982,14.9287397861,0.0799999982,-0.0712602139,0.0158733483,-0.00476200134,0.0
5.0,10.0,5.0799999982,9.9524931908,0.0799999982,-0.0475068092,0.0158733483,-0.00476200134,0.0
5.0,5.0,5.0799999982,4.9762465954,0.0799999982,-0.0237534046,0.0158733483,-0.00476200134,0.0
5.0,0.0,5.0799999982,3.0440467799999997e-18,0.0799999982,3.0440467799999997e-18,0.0158733483,-0.00476200134,0.0
10.0,50.0,10.159999996,49.762465954,0.159999996,-0.237534046,0.0158733483,-0.00476200134,0.0
10.0,45.0,10.159999996,44.786219358,0.159999996,-0.213780642,0.0158733483,-0.00476200134,0.0
10.0,40.0,10.159999996,39.809972763,0.159999996,-0.190027237,0.0158733483,-0.00476200134,0.0
10.0,35.0,10.159999996,34.833726168,0.159999996,-0.166273832,0.0158733483,-0.00476200134,0.0
10.0,30.0,10.159999996,29.857479572,0.159999996,-0.142520428,0.0158733483,-0.00476200134,0.0
10.0,25.0,10.159999996,24.881232977,0.159999996,-0.118767023,0.0158733483,-0.00476200134,0.0
10.0,20.0,10.159999996,19.9049863815,0.159999996,-0.0950136185,0.0158733483,-0.00476200134,0.0
10.0,15.0,10.159999996,14.9287397861,0.159999996,-0.0712602139,0.0158733483,-0.00476200134,0.0
10.0,10.0,10.159999996,9.9524931908,0.159999996,-0.0475068092,0.0158733483,-0.00476200134,0.0
10.0,5.0,10.159999996,4.9762465954,0.159999996,-0.0237534046,0.0158733483,-0.00476200134,0.0
10.0,0.0,10.159999996,6.1609851299999995e-18,0.159999996,6.1609851299999995e-18,0.0158733483,-0.00476200134,0.0
15.0,50.0,15.239999995,49.762465954,0.239999995,-0.237534046,0.0158733483,-0.00476200134,0.0
15.0,45.0,15.239999995,44.786219358,0.239999995,-0.213780642,0.0158733483,-0.00476200134,0.0
15.0,40.0,15.239999995,39.809972763,0.239999995,-0.190027237,0.0158733483,-0.00476200134,0.0
15.0,35.0,15.239999995,34.833726168,0.239999995,-0.166273832,0.0158733483,-0.00476200134,0.0
15.0,30.0,15.239999995,29.857479572,0.239999995,-0.142520428,0.0158733483,-0.00476200134,0.0
15.0,25.0,15.239999995,24.881232977,0.239999995,-0.118767023,0.0158733483,-0.00476200134,0.0
15.0,20.0,15.239999995,19.9049863815,0.239999995,-0.0950136185,0.0158733483,-0.00476200134,0.0
15.0,15.0,15.239999995,14.9287397861,0.239999995,-0.0712602139,0.0158733483,-0.00476200134,0.0
15.0,10.0,15.239999995,9.9524931908,0.239999995,-0.0475068092,0.0158733483,-0.00476200134,0.0
15.0,5.0,15.239999995,4.9762465954,0.239999995,-0.0237534046,0.0158733483,-0.00476200134,0.0
15.0,0.0,15.239999995,1.2819627799999999e-17,0.239999995,1.2819627799999999e-17,0.0158733483,-0.00476200134,0.0
20.0,50.0,20.319999993,49.762465954,0.319999993,-0.237534046,0.0158733483,-0.00476200134,0.0
20.0,45.0,20.319999993,44.786219358,0.319999993,-0.213780642,0.0158733483,-0.00476200134,0.0
20.0,40.0,20.319999993,39.809972763,0.319999993,-0.190027237,0.0158733483,-0.00476200134,0.0
20.0,35.0,20.319999993,34.833726168,0.319999993,-0.166273832,0.0158733483,-0.00476200134,0.0
20.0,30.0,20.319999993,29.857479572,0.319999993,-0.142520428,0.0158733483,-0.00476200134,0.0
20.0,25.0,20.319999993,24.881232977,0.319999993,-0.118767023,0.0158733483,-0.00476200134,0.0
20.0,20.0,20.319999993,19.9049863815,0.319999993,-0.0950136185,0.0158733483,-0.00476200134,0.0
20.0,15.0,20.319999993,14.9287397861,0.319999993,-0.0712602139,0.0158733483,-0.00476200134,0.0
