X (original),Y (original),X (deformed),Y (deformed),U1,U2,E11,E22,E12
0.0,50.0,3.7040322799999994e-36,49.189327717,3.7040322799999994e-36,-0.810672283,0.0544881858,-0.0163463224,0.0
0.0,45.0,9.03338682e-33,44.270394921,9.03338682e-33,-0.729605079,0.0544881858,-0.0163463224,0.0
0.0,40.0,9.03338682e-33,39.351462126,9.03338682e-33,-0.648537874,0.0544881858,-0.0163463224,0.0
0.0,35.0,9.03338682e-33,34.43252939,9.03338682e-33,-0.56747061,0.0544881858,-0.0163463224,0.0
0.0,30.0,9.03338682e-33,29.513596624,9.03338682e-33,-0.486403376,0.0544881858,-0.0163463224,0.0
0.0,25.0,9.03338682e-33,24.594663858,9.03338682e-33,-0.405336142,0.0544881858,-0.0163463224,0.0
0.0,20.0,9.03338682e-33,19.675731063,9.03338682e-33,-0.324268937,0.0544881858,-0.0163463224,0.0
0.0,15.0,9.03338682e-33,14.756798312,9.03338682e-33,-0.243201688,0.0544881858,-0.0163463224,0.0
0.0,10.0,9.03338682e-33,9.837865531,9.03338682e-33,-0.162134469,0.0544881858,-0.0163463224,0.0
0.0,5.0,9.03338682e-33,4.9189327657,9.03338682e-33,-0.0810672343,0.0544881858,-0.0163463224,0.0
0.0,0.0,3.7040322799999994e-36,1.325397e-35,3.7040322799999994e-36,1.325397e-35,0.0544881858,-0.0163463224,0.0
5.0,50.0,5.280000001,49.189327717,0.280000001,-0.810672283,0.0544881858,-0.0163463224,0.0
5.0,45.0,5.280000001,44.270394921,0.280000001,-0.729605079,0.0544881858,-0.0163463224,0.0
5.0,40.0,5.280000001,39.351462126,0.280000001,-0.648537874,0.0544881858,-0.0163463224,0.0
5.0,35.0,5.280000001,34.43252939,0.280000001,-0.56747061,0.0544881858,-0.0163463224,0.0
5.0,30.0,5.280000001,29.513596624,0.280000001,-0.486403376,0.0544881858,-0.0163463224,0.0
5.0,25.0,5.280000001,24.594663858,0.280000001,-0.405336142,0.0544881858,-0.0163463224,0.0
5.0,20.0,5.280000001,19.675731063,0.280000001,-0.324268937,0.0544881858,-0.0163463224,0.0
5.0,15.0,5.280000001,14.756798312,0.280000001,-0.243201688,0.0544881858,-0.0163463224,0.0
5.0,10.0,5.280000001,9.837865531,0.280000001,-0.162134469,0.0544881858,-0.0163463224,0.0
5.0,5.0,5.280000001,4.9189327657,0.280000001,-0.0810672343,0.0544881858,-0.0163463224,0.0
5.0,0.0,5.280000001,3.59383612e-16,0.280000001,3.59383612e-16,0.0544881858,-0.0163463224,0.0
10.0,50.0,10.560000002,49.189327717,0.560000002,-0.810672283,0.0544881858,-0.0163463224,0.0
10.0,45.0,10.560000002,44.270394921,0.560000002,-0.729605079,0.0544881858,-0.0163463224,0.0
10.0,40.0,10.560000002,39.351462126,0.560000002,-0.648537874,0.0544881858,-0.0163463224,0.0
10.0,35.0,10.560000002,34.43252939,0.560000002,-0.56747061,0.0544881858,-0.0163463224,0.0
10.0,30.0,10.560000002,29.513596624,0.560000002,-0.486403376,0.0544881858,-0.0163463224,0.0
10.0,25.0,10.560000002,24.594663858,0.560000002,-0.405336142,0.0544881858,-0.0163463224,0.0
10.0,20.0,10.560000002,19.675731063,0.560000002,-0.324268937,0.0544881858,-0.0163463224,0.0
10.0,15.0,10.560000002,14.756798312,0.560000002,-0.243201688,0.0544881858,-0.0163463224,0.0
10.0,10.0,10.560000002,9.837865531,0.560000002,-0.162134469,0.0544881858,-0.0163463224,0.0
10.0,5.0,10.560000002,4.9189327657,0.560000002,-0.0810672343,0.0544881858,-0.0163463224,0.0
10.0,0.0,10.560000002,5.0832915499999995e-17,0.560000002,5.0832915499999995e-17,0.0544881858,-0.0163463224,0.0
15.0,50.0,15.839999974,49.189327717,0.839999974,-0.810672283,0.0544881858,-0.0163463224,0.0
15.0,45.0,15.839999974,44.270394921,0.839999974,-0.729605079,0.0544881858,-0.0163463224,0.0
15.0,40.0,15.839999974,39.351462126,0.839999974,-0.648537874,0.0544881858,-0.0163463224,0.0
15.0,35.0,15.839999974,34.43252939,0.839999974,-0.56747061,0.0544881858,-0.0163463224,0.0
15.0,30.0,15.839999974,29.513596624,0.839999974,-0.486403376,0.0544881858,-0.0163463224,0.0
15.0,25.0,15.839999974,24.594663858,0.839999974,-0.405336142,0.0544881858,-0.0163463224,0.0
15.0,20.0,15.839999974,19.675731063,0.839999974,-0.324268937,0.0544881858,-0.0163463224,0.0
15.0,15.0,15.839999974,14.756798312,0.839999974,-0.243201688,0.0544881858,-0.0163463224,0.0
15.0,10.0,15.839999974,9.837865531,0.839999974,-0.162134469,0.0544881858,-0.0163463224,0.0
15.0,5.0,15.839999974,4.9189327657,0.839999974,-0.0810672343,0.0544881858,-0.0163463224,0.0
15.0,0.0,15.839999974,3.05531772e-16,0.839999974,3.05531772e-16,0.0544881858,-0.0163463224,0.0
20.0,50.0,21.12,49.189327717,1.12,-0.810672283,0.0544881858,-0.0163463224,0.0
20.0,45.0,21.12,44.270394921,1.12,-0.729605079,0.0544881858,-0.0163463224,0.0
20.0,40.0,21.12,39.351462126,1.12,-0.648537874,0.0544881858,-0.0163463224,0.0
20.0,35.0,21.12,34.43252939,1.12,-0.56747061,0.0544881858,-0.0163463224,0.0
20.0,30.0,21.12,29.513596624,1.12,-0.486403376,0.0544881858,-0.0163463224,0.0
20.0,25.0,21.12,24.594663858,1.12,-0.405336142,0.0544881858,-0.0163463224,0.0
20.0,20.0,21.12,19.675731063,1.12,-0.324268937,0.0544881858,-0.0163463224,0.0
20.0,15.0,21.12,14.756798312,1.12,-0.243201688,0.0544881858,-0.0163463224,0.0
20.0,10.0,21.12,9.837865531,1.12,-0.162134469,0.0544881858,-0.0163463224,0.0
